STATE,REGION,PMS,AGO,DPK,LPG,Date,Change in PMS,Change in AGO,Change in DPK,Change in LPG
Abuja,North Central,₦953.85,"₦1,173.33","₦1,225.00","₦1,210.00",17-Apr-25,-₦3.34,₦0.11,₦29.37,-₦5.71
Benue,North Central,₦999.09,"₦1,158.75",₦0.00,"₦1,300.00",17-Apr-25,-₦9.55,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,158.50","₦1,425.00","₦1,304.38",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kwara,North Central,₦956.67,"₦1,200.00","₦1,250.00","₦1,400.00",17-Apr-25,-₦13.33,₦0.00,₦25.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,366.67",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦962.14,"₦1,155.00","₦1,475.00","₦1,145.00",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦977.78,"₦1,177.22","₦1,263.33","₦1,206.67",17-Apr-25,-₦2.22,₦0.00,-₦2.23,-₦6.66
Bauchi,North East,₦986.88,"₦1,262.86","₦1,472.86","₦1,197.14",17-Apr-25,-₦0.62,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,077.78","₦1,202.22","₦1,487.50","₦1,400.00",17-Apr-25,₦0.00,₦0.00,₦12.50,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦986.67,"₦1,195.56","₦1,487.50","₦1,337.50",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Yobe,North East,"₦1,014.44","₦1,243.33","₦1,312.22","₦1,176.67",17-Apr-25,₦3.33,₦0.00,-₦3.34,-₦1.11
Jigawa,North West,₦980.56,"₦1,243.33","₦1,377.50","₦1,132.50",17-Apr-25,₦0.00,₦18.33,₦0.00,₦0.00
Kaduna,North West,"₦1,077.56","₦1,190.00","₦1,300.00","₦1,137.50",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kano,North West,₦966.29,"₦1,177.50","₦1,250.00","₦1,400.00",17-Apr-25,-₦2.46,-₦1.07,₦0.00,₦0.00
Katsina,North West,₦971.25,"₦1,165.71","₦1,321.43","₦1,302.00",17-Apr-25,-₦0.18,-₦4.29,-₦3.57,-₦13.00
Kebbi,North West,₦967.88,"₦1,176.43","₦1,250.00","₦1,400.00",17-Apr-25,₦0.25,-₦0.71,₦0.00,₦0.00
Sokoto,North West,₦977.50,"₦1,166.25","₦1,300.00","₦1,146.00",17-Apr-25,₦0.00,₦2.50,₦0.00,₦0.00
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,195.00",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦960.00,"₦1,272.50","₦1,302.86","₦1,300.00",17-Apr-25,₦4.37,₦0.00,₦0.00,₦6.67
Anambra,South East,₦950.00,"₦1,188.13","₦1,310.00","₦1,208.33",17-Apr-25,-₦2.50,-₦3.75,-₦6.67,-₦8.34
Ebonyi,South East,₦973.75,"₦1,120.00","₦1,500.00","₦1,250.00",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦961.88,"₦1,275.00","₦1,300.00","₦1,400.00",17-Apr-25,₦0.00,₦12.50,₦0.00,₦0.00
Imo,South East,₦958.75,"₦1,283.75","₦1,300.00","₦1,300.00",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Akwa Ibom,South South,₦942.86,"₦1,173.33","₦1,215.00","₦1,113.33",17-Apr-25,₦0.36,₦16.19,-₦5.00,₦11.90
Bayelsa,South South,₦960.63,"₦1,151.00",₦0.00,"₦1,100.00",17-Apr-25,-₦20.62,-₦10.00,₦0.00,₦0.00
Cross River,South South,₦966.17,"₦1,283.33","₦1,220.00","₦1,300.00",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Delta,South South,₦976.43,"₦1,152.86","₦1,363.00","₦1,273.57",17-Apr-25,₦10.18,₦12.86,₦13.00,₦13.57
Edo,South South,₦971.13,"₦1,195.00","₦1,230.00","₦1,276.67",17-Apr-25,-₦3.87,-₦3.13,-₦7.50,₦0.96
Rivers,South South,₦970.63,"₦1,225.00","₦1,200.00","₦1,320.00",17-Apr-25,-₦1.87,₦0.00,₦0.00,-₦10.00
Ekiti,South West,₦955.00,"₦1,121.64","₦1,185.71","₦1,250.00",17-Apr-25,-₦1.11,-₦26.14,₦0.00,₦65.61
Lagos,South West,₦924.63,"₦1,096.17","₦1,450.00","₦1,110.94",17-Apr-25,-₦0.49,-₦1.60,₦0.00,₦0.00
Ogun,South West,₦930.63,"₦1,121.25","₦1,281.50","₦1,100.00",17-Apr-25,₦0.00,-₦0.63,₦0.00,₦0.00
Ondo,South West,₦960.13,"₦1,139.00","₦1,305.38","₦1,253.75",17-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦932.50,"₦1,113.75","₦1,290.00","₦1,300.00",17-Apr-25,-₦1.88,-₦4.38,₦0.00,₦0.00
Oyo,South West,₦936.88,"₦1,111.88","₦1,350.00","₦1,100.00",17-Apr-25,₦0.00,-₦5.00,₦0.00,₦0.00
,National,₦965.83,"₦1,172.06","₦1,322.75","₦1,235.31",18-Apr-25,-₦3.17,-₦1.87,-₦1.26,₦3.08
Abuja,North Central,₦953.00,"₦1,173.13","₦1,200.00","₦1,210.00",18-Apr-25,-₦0.85,-₦0.20,-₦25.00,₦0.00
Benue,North Central,"₦1,002.73","₦1,158.75",₦0.00,"₦1,300.00",18-Apr-25,₦3.64,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,158.50","₦1,425.00","₦1,304.38",18-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",18-Apr-25,₦13.33,₦0.00,-₦25.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,366.67",18-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦962.14,"₦1,155.00","₦1,475.00","₦1,145.00",18-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",18-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦979.44,"₦1,177.22","₦1,262.22","₦1,206.67",18-Apr-25,₦1.66,₦0.00,-₦1.11,₦0.00
Bauchi,North East,₦985.00,"₦1,253.33","₦1,468.33","₦1,196.67",18-Apr-25,-₦1.88,-₦9.53,-₦4.53,-₦0.47
Borno,North East,"₦1,077.78","₦1,202.22","₦1,475.00","₦1,400.00",18-Apr-25,₦0.00,₦0.00,-₦12.50,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",18-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦984.44,"₦1,195.56","₦1,487.50","₦1,337.50",18-Apr-25,-₦2.23,₦0.00,₦0.00,₦0.00
Yobe,North East,"₦1,017.78","₦1,242.22","₦1,315.56","₦1,177.78",18-Apr-25,₦3.34,-₦1.11,₦3.34,₦1.11
Jigawa,North West,₦980.56,"₦1,225.00","₦1,377.50","₦1,132.50",18-Apr-25,₦0.00,-₦18.33,₦0.00,₦0.00
Kaduna,North West,"₦1,024.00","₦1,165.00","₦1,300.00","₦1,100.00",18-Apr-25,-₦53.56,-₦25.00,₦0.00,-₦37.50
Kano,North West,₦969.13,"₦1,179.29","₦1,250.00","₦1,400.00",18-Apr-25,₦2.84,₦1.79,₦0.00,₦0.00
Katsina,North West,₦969.38,"₦1,162.86","₦1,321.43","₦1,302.00",18-Apr-25,-₦1.87,-₦2.85,₦0.00,₦0.00
Kebbi,North West,₦968.38,"₦1,177.86","₦1,250.00","₦1,400.00",18-Apr-25,₦0.50,₦1.43,₦0.00,₦0.00
Sokoto,North West,₦977.50,"₦1,166.25","₦1,300.00","₦1,146.00",18-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,196.25",18-Apr-25,₦0.00,₦0.00,₦0.00,₦1.25
Abia,South East,₦951.88,"₦1,272.50","₦1,302.86","₦1,300.00",18-Apr-25,-₦8.12,₦0.00,₦0.00,₦0.00
Anambra,South East,₦975.56,"₦1,175.00","₦1,350.00","₦1,216.67",18-Apr-25,₦25.56,-₦13.13,₦40.00,₦8.34
Ebonyi,South East,₦973.75,"₦1,120.00","₦1,500.00","₦1,250.00",18-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦958.13,"₦1,262.50","₦1,300.00","₦1,400.00",18-Apr-25,-₦3.75,-₦12.50,₦0.00,₦0.00
Imo,South East,₦955.00,"₦1,277.50","₦1,300.00","₦1,300.00",18-Apr-25,-₦3.75,-₦6.25,₦0.00,₦0.00
Akwa Ibom,South South,₦945.71,"₦1,182.00","₦1,208.00","₦1,118.00",18-Apr-25,₦2.85,₦8.67,-₦7.00,₦4.67
Bayelsa,South South,₦959.38,"₦1,165.00",₦0.00,"₦1,100.00",18-Apr-25,-₦1.25,₦14.00,₦0.00,₦0.00
Cross River,South South,₦947.67,"₦1,283.33","₦1,220.00","₦1,300.00",18-Apr-25,-₦18.50,₦0.00,₦0.00,₦0.00
Delta,South South,₦963.33,"₦1,137.50","₦1,350.00","₦1,255.00",18-Apr-25,-₦13.10,-₦15.36,-₦13.00,-₦18.57
Edo,South South,₦965.00,"₦1,201.25","₦1,200.00","₦1,285.71",18-Apr-25,-₦6.13,₦6.25,-₦30.00,₦9.04
Rivers,South South,₦970.71,"₦1,216.67","₦1,200.00","₦1,330.00",18-Apr-25,₦0.08,-₦8.33,₦0.00,₦10.00
Ekiti,South West,₦955.00,"₦1,145.56","₦1,185.71","₦1,241.67",18-Apr-25,₦0.00,₦23.92,₦0.00,-₦8.33
Lagos,South West,₦924.22,"₦1,094.09","₦1,450.00","₦1,110.94",18-Apr-25,-₦0.41,-₦2.08,₦0.00,₦0.00
Ogun,South West,₦928.13,"₦1,121.25","₦1,265.00","₦1,100.00",18-Apr-25,-₦2.50,₦0.00,-₦16.50,₦0.00
Ondo,South West,₦957.00,"₦1,139.00","₦1,305.38","₦1,253.75",18-Apr-25,-₦3.13,₦0.00,₦0.00,₦0.00
Osun,South West,₦932.50,"₦1,113.75","₦1,290.00","₦1,300.00",18-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Oyo,South West,₦925.00,"₦1,104.38","₦1,350.00","₦1,100.00",18-Apr-25,-₦11.88,-₦7.50,₦0.00,₦0.00
,National,₦959.51,"₦1,159.29","₦1,325.19","₦1,218.17",19-Apr-25,-₦6.32,-₦12.77,₦2.44,-₦17.14
Abuja,North Central,₦953.33,"₦1,174.29","₦1,200.00","₦1,215.00",19-Apr-25,₦0.33,₦1.16,₦0.00,₦5.00
Benue,North Central,₦999.44,"₦1,158.75",₦0.00,"₦1,300.00",19-Apr-25,-₦3.29,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,158.50","₦1,425.00","₦1,304.38",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,366.67",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦962.14,"₦1,155.00","₦1,475.00","₦1,145.00",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦978.89,"₦1,177.22","₦1,264.44","₦1,206.67",19-Apr-25,-₦0.55,₦0.00,₦2.22,₦0.00
Bauchi,North East,₦988.57,"₦1,184.29","₦1,472.86","₦1,197.14",19-Apr-25,₦3.57,-₦69.04,₦4.53,₦0.47
Borno,North East,"₦1,077.78","₦1,202.78","₦1,475.00","₦1,400.00",19-Apr-25,₦0.00,₦0.56,₦0.00,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦984.44,"₦1,195.56","₦1,487.50","₦1,337.50",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Yobe,North East,"₦1,015.56","₦1,246.67","₦1,315.56","₦1,177.78",19-Apr-25,-₦2.22,₦4.45,₦0.00,₦0.00
Jigawa,North West,₦980.56,"₦1,225.00","₦1,377.50","₦1,132.50",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,077.56","₦1,190.00","₦1,300.00","₦1,137.50",19-Apr-25,₦53.56,₦25.00,₦0.00,₦37.50
Kano,North West,₦969.63,"₦1,177.86","₦1,245.00","₦1,400.00",19-Apr-25,₦0.50,-₦1.43,-₦5.00,₦0.00
Katsina,North West,₦968.13,"₦1,161.43","₦1,321.43","₦1,296.00",19-Apr-25,-₦1.25,-₦1.43,₦0.00,-₦6.00
Kebbi,North West,₦962.64,"₦1,177.78","₦1,245.00","₦1,400.00",19-Apr-25,-₦5.74,-₦0.08,-₦5.00,₦0.00
Sokoto,North West,₦977.50,"₦1,166.25","₦1,300.00","₦1,146.00",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,196.25",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦951.88,"₦1,266.25","₦1,302.86","₦1,300.00",19-Apr-25,₦0.00,-₦6.25,₦0.00,₦0.00
Anambra,South East,₦982.50,"₦1,163.75","₦1,308.33","₦1,161.67",19-Apr-25,₦6.94,-₦11.25,-₦41.67,-₦55.00
Ebonyi,South East,₦973.75,"₦1,120.00","₦1,500.00","₦1,250.00",19-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦957.50,"₦1,275.00","₦1,300.00","₦1,400.00",19-Apr-25,-₦0.63,₦12.50,₦0.00,₦0.00
Imo,South East,₦954.00,"₦1,267.00","₦1,300.00","₦1,320.00",19-Apr-25,-₦1.00,-₦10.50,₦0.00,₦20.00
Akwa Ibom,South South,₦950.00,"₦1,155.00","₦1,200.00","₦1,080.00",19-Apr-25,₦4.29,-₦27.00,-₦8.00,-₦38.00
Bayelsa,South South,₦959.38,"₦1,153.00",₦0.00,"₦1,100.00",19-Apr-25,₦0.00,-₦12.00,₦0.00,₦0.00
Cross River,South South,₦933.56,"₦1,264.44","₦1,220.00","₦1,105.00",19-Apr-25,-₦14.11,-₦18.89,₦0.00,-₦195.00
Delta,South South,₦942.50,"₦1,145.00","₦1,363.00","₦1,276.43",19-Apr-25,-₦20.83,₦7.50,₦13.00,₦21.43
Edo,South South,₦969.38,"₦1,205.00","₦1,235.00","₦1,271.43",19-Apr-25,₦4.38,₦3.75,₦35.00,-₦14.28
Rivers,South South,₦969.38,"₦1,225.00","₦1,200.00","₦1,330.00",19-Apr-25,-₦1.33,₦8.33,₦0.00,₦0.00
Ekiti,South West,₦941.00,"₦1,147.78","₦1,185.71","₦1,241.67",19-Apr-25,-₦14.00,₦2.22,₦0.00,₦0.00
Lagos,South West,₦918.63,"₦1,093.34","₦1,450.00","₦1,110.94",19-Apr-25,-₦5.59,-₦0.75,₦0.00,₦0.00
Ogun,South West,₦925.00,"₦1,121.25","₦1,265.00","₦1,100.00",19-Apr-25,-₦3.13,₦0.00,₦0.00,₦0.00
Ondo,South West,₦959.63,"₦1,139.00","₦1,305.38","₦1,253.75",19-Apr-25,₦2.63,₦0.00,₦0.00,₦0.00
Osun,South West,₦910.38,"₦1,113.75","₦1,290.00","₦1,211.43",19-Apr-25,-₦22.12,₦0.00,₦0.00,-₦88.57
Oyo,South West,₦916.25,"₦1,095.00","₦1,350.00","₦1,100.00",19-Apr-25,-₦8.75,-₦9.38,₦0.00,₦0.00
,National,₦962.56,"₦1,169.65","₦1,325.78","₦1,231.82",20-Apr-25,₦3.05,₦10.36,₦0.59,₦13.65
Abuja,North Central,₦952.50,"₦1,173.57","₦1,220.00","₦1,214.00",20-Apr-25,-₦0.83,-₦0.72,₦20.00,-₦1.00
Benue,North Central,₦999.50,"₦1,158.75",₦0.00,"₦1,300.00",20-Apr-25,₦0.06,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,158.50","₦1,425.00","₦1,304.38",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,366.67",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦962.14,"₦1,155.00","₦1,475.00","₦1,145.00",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦968.89,"₦1,288.89","₦1,266.67","₦1,247.78",20-Apr-25,-₦2.22,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦978.89,"₦1,177.22","₦1,264.44","₦1,205.56",20-Apr-25,₦0.00,₦0.00,₦0.00,-₦1.11
Bauchi,North East,₦988.57,"₦1,184.29","₦1,472.86","₦1,197.14",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,077.78","₦1,202.22","₦1,475.00","₦1,400.00",20-Apr-25,₦0.00,-₦0.56,₦0.00,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦984.44,"₦1,191.11","₦1,487.50","₦1,337.50",20-Apr-25,₦0.00,-₦4.45,₦0.00,₦0.00
Yobe,North East,"₦1,015.56","₦1,245.56","₦1,320.00","₦1,175.56",20-Apr-25,₦0.00,-₦1.11,₦4.44,-₦2.22
Jigawa,North West,₦979.44,"₦1,225.00","₦1,377.50","₦1,132.50",20-Apr-25,-₦1.12,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,049.33","₦1,176.67","₦1,300.00","₦1,125.00",20-Apr-25,-₦28.23,-₦13.33,₦0.00,-₦12.50
Kano,North West,₦969.38,"₦1,177.86","₦1,250.00","₦1,400.00",20-Apr-25,-₦0.25,₦0.00,₦5.00,₦0.00
Katsina,North West,₦966.25,"₦1,159.29","₦1,321.43","₦1,290.00",20-Apr-25,-₦1.88,-₦2.14,₦0.00,-₦6.00
Kebbi,North West,₦968.50,"₦1,178.57","₦1,250.00","₦1,400.00",20-Apr-25,₦5.86,₦0.79,₦5.00,₦0.00
Sokoto,North West,₦977.50,"₦1,166.25","₦1,300.00","₦1,146.00",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,196.25",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦949.38,"₦1,272.50","₦1,300.00","₦1,300.00",20-Apr-25,-₦2.50,₦6.25,-₦2.86,₦0.00
Anambra,South East,₦988.75,"₦1,190.00","₦1,325.71","₦1,175.00",20-Apr-25,₦6.25,₦26.25,₦17.38,₦13.33
Ebonyi,South East,₦981.43,"₦1,126.67","₦1,500.00","₦1,250.00",20-Apr-25,₦7.68,₦6.67,₦0.00,₦0.00
Enugu,South East,₦953.75,"₦1,256.25","₦1,300.00","₦1,400.00",20-Apr-25,-₦3.75,-₦18.75,₦0.00,₦0.00
Imo,South East,₦952.50,"₦1,283.75","₦1,300.00","₦1,300.00",20-Apr-25,-₦1.50,₦16.75,₦0.00,-₦20.00
Akwa Ibom,South South,₦943.33,"₦1,150.00","₦1,195.00","₦1,090.00",20-Apr-25,-₦6.67,-₦5.00,-₦5.00,₦10.00
Bayelsa,South South,₦956.67,"₦1,151.00",₦0.00,"₦1,100.00",20-Apr-25,-₦2.71,-₦2.00,₦0.00,₦0.00
Cross River,South South,₦934.00,"₦1,260.00","₦1,216.00","₦1,300.00",20-Apr-25,₦0.44,-₦4.44,-₦4.00,₦195.00
Delta,South South,₦915.00,"₦1,125.00","₦1,250.00","₦1,265.00",20-Apr-25,-₦27.50,-₦20.00,-₦113.00,-₦11.43
Edo,South South,₦971.25,"₦1,193.75","₦1,200.00","₦1,278.57",20-Apr-25,₦1.87,-₦11.25,-₦35.00,₦7.14
Rivers,South South,₦971.25,"₦1,221.43","₦1,200.00","₦1,360.00",20-Apr-25,₦1.87,-₦3.57,₦0.00,₦30.00
Ekiti,South West,₦935.50,"₦1,147.50","₦1,200.00","₦1,241.67",20-Apr-25,-₦5.50,-₦0.28,₦14.29,₦0.00
Lagos,South West,₦915.29,"₦1,090.83","₦1,450.00","₦1,104.38",20-Apr-25,-₦3.34,-₦2.51,₦0.00,-₦6.56
Ogun,South West,₦924.38,"₦1,110.00","₦1,265.00","₦1,100.00",20-Apr-25,-₦0.62,-₦11.25,₦0.00,₦0.00
Ondo,South West,₦946.25,"₦1,139.00","₦1,305.38","₦1,253.75",20-Apr-25,-₦13.38,₦0.00,₦0.00,₦0.00
Osun,South West,₦910.38,"₦1,113.75","₦1,290.00","₦1,211.43",20-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Oyo,South West,₦911.88,"₦1,098.13","₦1,350.00","₦1,093.75",20-Apr-25,-₦4.37,₦3.13,₦0.00,-₦6.25
,National,₦965.12,"₦1,170.28","₦1,323.19","₦1,236.09",21-Apr-25,₦2.56,₦0.63,-₦2.59,₦4.27
Abuja,North Central,₦953.21,"₦1,177.14","₦1,208.33","₦1,215.00",21-Apr-25,₦0.71,₦3.57,-₦11.67,₦1.00
Benue,North Central,₦999.44,"₦1,158.75",₦0.00,"₦1,300.00",21-Apr-25,-₦0.06,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,159.13","₦1,412.50","₦1,304.38",21-Apr-25,₦0.00,₦0.63,-₦12.50,₦0.00
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,366.67",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦962.14,"₦1,155.00","₦1,475.00","₦1,145.00",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",21-Apr-25,₦2.22,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦977.78,"₦1,178.33","₦1,264.44","₦1,206.67",21-Apr-25,-₦1.11,₦1.11,₦0.00,₦1.11
Bauchi,North East,₦988.57,"₦1,184.29","₦1,472.86","₦1,197.14",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,077.78","₦1,202.22","₦1,475.00","₦1,400.00",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦978.89,"₦1,191.11","₦1,468.75","₦1,337.50",21-Apr-25,-₦5.55,₦0.00,-₦18.75,₦0.00
Yobe,North East,"₦1,016.67","₦1,242.22","₦1,303.33","₦1,178.89",21-Apr-25,₦1.11,-₦3.34,-₦16.67,₦3.33
Jigawa,North West,₦979.44,"₦1,225.00","₦1,377.50","₦1,132.50",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,072.22","₦1,190.00","₦1,300.00","₦1,137.50",21-Apr-25,₦22.89,₦13.33,₦0.00,₦12.50
Kano,North West,₦969.25,"₦1,177.86","₦1,250.00","₦1,400.00",21-Apr-25,-₦0.13,₦0.00,₦0.00,₦0.00
Katsina,North West,₦966.25,"₦1,158.57","₦1,314.29","₦1,302.00",21-Apr-25,₦0.00,-₦0.72,-₦7.14,₦12.00
Kebbi,North West,₦968.63,"₦1,177.86","₦1,250.00","₦1,400.00",21-Apr-25,₦0.13,-₦0.71,₦0.00,₦0.00
Sokoto,North West,₦976.25,"₦1,166.25","₦1,300.00","₦1,146.00",21-Apr-25,-₦1.25,₦0.00,₦0.00,₦0.00
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,196.25",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦949.38,"₦1,266.25","₦1,302.86","₦1,300.00",21-Apr-25,₦0.00,-₦6.25,₦2.86,₦0.00
Anambra,South East,₦988.75,"₦1,185.00","₦1,333.33","₦1,216.67",21-Apr-25,₦0.00,-₦5.00,₦7.62,₦41.67
Ebonyi,South East,₦981.43,"₦1,126.67","₦1,500.00","₦1,250.00",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦956.25,"₦1,262.50","₦1,300.00","₦1,400.00",21-Apr-25,₦2.50,₦6.25,₦0.00,₦0.00
Imo,South East,₦955.00,"₦1,277.50","₦1,300.00","₦1,300.00",21-Apr-25,₦2.50,-₦6.25,₦0.00,₦0.00
Akwa Ibom,South South,₦943.33,"₦1,140.00","₦1,245.00","₦1,105.00",21-Apr-25,₦0.00,-₦10.00,₦50.00,₦15.00
Bayelsa,South South,₦959.38,"₦1,151.00",₦0.00,"₦1,100.00",21-Apr-25,₦2.71,₦0.00,₦0.00,₦0.00
Cross River,South South,₦930.25,"₦1,260.00","₦1,220.00","₦1,300.00",21-Apr-25,-₦3.75,₦0.00,₦4.00,₦0.00
Delta,South South,₦957.78,"₦1,124.78","₦1,347.50","₦1,278.13",21-Apr-25,₦42.78,-₦0.22,₦97.50,₦13.13
Edo,South South,₦967.86,"₦1,206.67","₦1,200.00","₦1,266.67",21-Apr-25,-₦3.39,₦12.92,₦0.00,-₦11.90
Rivers,South South,₦969.38,"₦1,225.00","₦1,200.00","₦1,370.00",21-Apr-25,-₦1.87,₦3.57,₦0.00,₦10.00
Ekiti,South West,₦935.44,"₦1,145.56","₦1,185.71","₦1,241.67",21-Apr-25,-₦0.06,-₦1.94,-₦14.29,₦0.00
Lagos,South West,₦914.96,"₦1,093.34","₦1,450.00","₦1,110.94",21-Apr-25,-₦0.33,₦2.51,₦0.00,₦6.56
Ogun,South West,₦923.33,"₦1,118.33","₦1,300.00","₦1,100.00",21-Apr-25,-₦1.05,₦8.33,₦35.00,₦0.00
Ondo,South West,₦946.25,"₦1,139.00","₦1,305.38","₦1,253.75",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦910.38,"₦1,113.75","₦1,290.00","₦1,211.43",21-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Oyo,South West,₦909.63,"₦1,089.38","₦1,350.00","₦1,112.50",21-Apr-25,-₦2.25,-₦8.75,₦0.00,₦18.75
,National,₦960.25,"₦1,164.99","₦1,325.64","₦1,230.75",22-Apr-25,-₦4.87,-₦5.29,₦2.45,-₦5.34
Abuja,North Central,₦949.00,"₦1,170.00","₦1,200.00","₦1,213.33",22-Apr-25,-₦4.21,-₦7.14,-₦8.33,-₦1.67
Benue,North Central,₦997.78,"₦1,158.75",₦0.00,"₦1,300.00",22-Apr-25,-₦1.66,₦0.00,₦0.00,₦0.00
